DATE|OFFICIAL|PLACARD_TYPE|PLATFORM|POST_ID|POST_URL|IMAGE_HASH|TEXT_SNIPPET|BLOCK_TYPE|NOTES|OPENSECRETS_CONTEXT
2026-08-14|Nancy Mace|No Funds for Fascists Act — Update 08-14|Facebook|100|https://facebook.com/post/100|hash100|No Funds for Fascists Act update 08-14 tracking funding|Filter|Logged 2026-08-14 Post_ID 100 — Continuation of 4x pattern|Republican/Conservative $485,687 — Small 12.99% $449,704
2026-08-14|Nashville Tea Party|You get the boot with both! — 08-14 amplification check|FB+IG|101|https://facebook.com/post/101|hash101|You get the boot with both! re-check 4K likes|Block + Rate Limit|Logged 2026-08-14 — Nashville 5x+1 now 6x|Grassroots meme — 4K/1.3K sustained
2026-08-14|Meta System|INFLECTION #3 — 2026-08-14 rate limit spike check|FB+IG|102|https://facebook.com/post/102|hash102|Rate limit check 08-14 — compare to 12x spike 08-04|Rate Limit|Logged 2026-08-14 — Checking if INFLECTION #3 forms|—
2026-08-14|System|Duplication audit 08-14 — 44% baseline comparison|FB+IG|103|https://facebook.com/post/103|hash103|Duplication audit 08-14 vs 44% baseline|Rate Limit|Logged 2026-08-14 — Quality metric update|Quality metric audit
2026-08-14|Mount Holly Fire District|Hear! Hear! follow-up 08-14 — Local gov block retest|Facebook|104|https://facebook.com/post/104|hash104|Hear! Hear! follow-up local gov block retest|Local Gov Block|Logged 2026-08-14 — Local gov block pattern retest|—
2026-08-14|Nancy Mace|Foreign-born judges — 08-14 follow-up|Facebook|105|https://facebook.com/post/105|hash105|Foreign-born judges follow-up|Filter|Logged 2026-08-14 — Funding context re-check|Securities & Investment $196,148
2026-08-14|The Telegraph|Boy George — 08-14 framing test continuation|Facebook|106|https://facebook.com/post/106|hash106|Boy George framing test 08-14 continuation|Block|Logged 2026-08-14 — Framing vs humanitarian|Framing test
2026-08-14|Brandon Gill (Arra Posa)|AI content — 08-14 impersonation retest|Facebook|107|https://facebook.com/post/107|hash107|AI content impersonation retest 08-14|AI Flag|Logged 2026-08-14 — Arra Posa page retest|Page run by Arra Posa
2026-08-14|Celebrity Speech Test|Post_ID 108 Opinion tolerance — 08-14|Facebook|108|https://facebook.com/post/108|hash108|Opinion tolerance test 08-14|Block|Logged 2026-08-14 — Content-based filter hypothesis|Content-based filter
2026-08-14|Celebrity Speech Test|Post_ID 109 Authority Challenge — 08-14|Facebook|109|https://facebook.com/post/109|hash109|Authority challenge 08-14|Block|Logged 2026-08-14 — Authority challenge|Content-based filter
2026-08-14|Nancy Mace|Handmaid's Tale — 08-14 update|Facebook|110|https://facebook.com/post/110|hash110|Handmaid's Tale update 08-14|Rate Limit|Logged 2026-08-14 — Handmaid 2x+1 now 3x|Small Individual $449,704 grassroots
2026-08-14|System|OpenSecrets blend — 08-14 funding update check|FB+IG|111|https://facebook.com/post/111|hash111|OpenSecrets funding update check 08-14|Rate Limit|Logged 2026-08-14 — Funding context audit|Credit OpenSecrets https://www.opensecrets.org/members-of-congress/nancy-mace/summary?cid=N00035670
2026-08-14|System|INFLECTION #2 analysis — 08-14 retrospective|FB+IG|112|https://facebook.com/post/112|hash112|Inflection #2 retrospective 10 days later|Rate Limit|Logged 2026-08-14 — 10-day retrospective of 12x spike|—
2026-08-14|System|End of day 2026-08-14 — Daily close|FB+IG|113|https://facebook.com/post/113|hash113|End of day 2026-08-14|Rate Limit|Daily close 2026-08-14|—
