Cumulative_Index,Post_ID,Timestamp,Platform,Label,Sub_label,URL,Caption_Snippet,Creation_Date,Edition,Primary_Color,Secondary_Color
1,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
2,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
3,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
4,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
5,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
6,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
7,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
8,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
9,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
10,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
11,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
12,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
13,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
14,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
15,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
16,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
17,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
18,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
19,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
20,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
21,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
22,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
23,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
24,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
25,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
26,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
27,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
28,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
29,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
30,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
31,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
32,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
33,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
34,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
35,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
36,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
37,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
38,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
39,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
40,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
